2.68492e+10,-1.06465e+17,-5.95407e+09
-3244.29,9299.73,846.328
-3209.07,9123.98,832.879
-3159.87,8859.96,810.238
-3086.94,8502.09,782.973
-2905.05,7631.22,714.683
-2904.63,7611.9,712.862
-2915.01,7632.03,715.298
-2915.91,7621.4,714.341
-2966.16,7740.4,724.588
-2966.07,7720.84,722.566
-2972.09,7710.91,721.907
-2999.15,7756.04,725.895
-2996.69,7724.28,723.206
-3012.06,7736.75,723.663
-3020.77,7714.44,726.195
-3012.46,7690.95,719.83
-3035.24,7724.75,727.167
-2991.57,7616.09,713.361
-2968.97,7546.65,707.055
-3005.54,7634,719.202
-2958.32,7527.24,705.841
-3011.55,7650.94,720.933
-2989.5,7606.47,713.407
-2962.94,7533.34,706.214
-2996.64,7633.3,715.585
-2959.88,7527.74,705.944
-3006.55,7652.86,716.983
-2999.84,7625.26,719.012
-2999.06,7646.56,718.97
-2998.52,7618.49,718.039
-2975.5,7576.47,712.454
-2964.08,7525.72,709.866
-2975.53,7575.8,710.808
-2971.19,7541.58,710.983
-2988.72,7593.26,716.091
-2958.12,7517.83,704.487
-2988.83,7606.97,712.465
-2953.88,7497.66,707.301
-2941.72,7470.07,705.343
-2981.48,7586.78,711.365
-2977.78,7567.06,714.223
-2961.32,7525.21,705.185
-2952.85,7512.79,706.769
-2992.57,7603.77,717.432
-2958.85,7511.83,708.639
-2997.7,7626.19,714.32
-2970.31,7563.98,711.653
-2939.81,7479.81,701.749
-2960.48,7518.66,709.514
-3000.52,7625.74,718.989
-2988.68,7607.37,713.405
-2981.18,7592.13,714.112
-2948.18,7500.36,705.489
-2977.65,7560.67,712.849
-2980.49,7587.41,713.891
-2972.57,7569,710.606
-2965.98,7550.63,708.915
-2994.76,7611.02,717.596
-2985.21,7602.33,714.723
-2983.91,7593.03,711.799
-2977.7,7582.41,713.072
-2968.69,7549.65,707.807
-2971.63,7555.92,713.771
-2980.07,7585.6,711.494
-2975.4,7580.67,711.432
-2983.37,7580.39,715.103
-2950.89,7510.14,706.868
-2993.27,7619.6,714.932
-2991.07,7603.28,717.424
-2937.83,7477.22,703.94
-2964.39,7548.12,708.732
-2975.4,7577.32,712.681
-2965.46,7548.2,707.788
-2993.81,7613.42,718.571
-2992.56,7617.69,714.193
-2992.64,7607.83,717.851
-3008.21,7654.3,716.966
-2954.56,7522.05,707.236
-2980.83,7573.95,714.367
-2957.01,7519.58,705.133
-2994.15,7625.97,716.766
-3010.32,7651.68,721.217
-2988.72,7597.13,711.231
-2986.62,7589.22,715.757
-2981.28,7592.03,713.991
-2959.57,7523.88,705.273
-2984.53,7594.34,714.049
-2978.08,7573.09,709.709
-2990.69,7615.47,716.662
-2999.39,7634.1,715.655
-3009.92,7660.38,718.171
-3019.84,7684.55,719.526
-3000.94,7638.08,716.219
-3013.37,7668.43,718.001
-3008.72,7662.57,719.735
-3012.13,7666,717.912
-2997.42,7630.13,715.195
-2986.49,7592.2,716.434
-2968.8,7560.06,709.941
-2980.25,7584.32,711.314
-2986.9,7600.64,712.941
-2956.54,7518.62,705.077
-3008.74,7656.98,717.094
-3028.35,7693.78,724.242
-3030.38,7708.58,720.97
-3029.72,7706,720.66
-3004.23,7642.08,715.492
-2986.33,7580.6,714.205
-3001.53,7637.3,715.324
-2979,7580.69,710.734
-2969.98,7557.48,708.789
-2958.95,7530.15,708.168
-3006,7656.52,717.226
-3002.75,7644.05,716.431
-2992.8,7620.34,714.746
-2995.34,7634.51,718.478
-2989.71,7604.13,718.109
-2987.92,7606,713.731
-2973.01,7555.82,713.087
-2950.76,7511.44,709.906
-2941.8,7479.6,702.193
-2974.69,7575.05,711.037
-2956.43,7519.62,706.346
-2998.16,7638.77,718.553
-2992.59,7619.65,714.568
-3003.84,7650.43,717.508
-2988.75,7597.94,716.818
-3001.09,7640.47,716.293
-2987.44,7601.68,712.47
-2997.67,7631.75,717.017
-2957.17,7521.18,705.596
-2997.17,7629.82,715.38
-3008.22,7658.25,718.12
-2997.17,7631.34,715.545
-3015.56,7673.83,718.429
-2996,7614.07,717.84
-2995.2,7621.67,714.085
-3001.09,7641,715.583
-2989.2,7611.38,715.388
-2984.33,7589.15,710.977
-3006.03,7652.88,717.201
-2997.41,7634.45,716.219
-2985.33,7590.69,716.453
-2974.32,7581.08,713.047
-2973,7572.53,712.377
-2964.91,7535.87,711.471
-2947.69,7486.59,706.867
-2963.82,7553.63,711.372
-2963.29,7530.21,711.03
-2942.74,7479.76,701.511
-2935.83,7471.33,703.37
-2986.76,7590.92,716.19
-2957.9,7520.98,705.198
-2977.21,7577.45,710.67
-2975.13,7561.71,713.746
-2949.09,7498.37,705.447
-2984.87,7595.28,712.014
-2984.26,7598.43,714.403
-2957.53,7510.38,708.914
-2979,7588.41,714.387
-2979.14,7582.84,713.378
-2978.25,7581.83,713.662
-2970.19,7542.17,711.628
-2978.42,7583.53,712.054
-2999.08,7631.12,717.955
-2995.52,7627.02,717.461
-2950.33,7504.52,704.537
-3005.57,7662.66,720.866
-2980.31,7589.43,712.683
-2982.77,7586.06,716.273
-2981.26,7578.06,715.014
-2962.25,7548.61,710.78
-2974.85,7555.85,712.606
-2956.94,7503.37,707.59
-2932.36,7455.52,701.936
-2959.75,7521.28,710.374
-2933.32,7444.31,702.879
-2947.97,7481.41,706.016
-2955.82,7518.19,707.953
-2943.64,7485.85,704.058
-2976.84,7554.05,711.98
-2976.48,7555.42,712.391
-2982.26,7593.98,714.58
-2968.56,7560.25,711.456
-2941.23,7467.13,704.964
-2948.68,7488.04,706.935
-2971.73,7570.65,712.593
-2980.16,7572.07,714.425
